customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_flag,churn_probability,risk_band,revenue_at_risk
CUST100058,Female,0,No,Yes,16,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.56,897.68,No,0,0.4649,Medium,26.3
CUST100059,Female,0,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.81,208.37,No,0,0.7915,High,86.91
CUST100060,Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,83.52,6008.34,No,0,0.4506,Medium,37.63
CUST100061,Female,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.72,313.21,No,0,0.4983,Medium,17.3
CUST100062,Male,1,No,No,9,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),81.1,755.49,No,0,0.3904,Low,31.66
CUST100063,Female,0,Yes,No,6,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,63.51,389.94,No,0,0.4873,Medium,30.95
CUST100064,Male,1,No,No,15,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,69.6,1082.58,No,0,0.3832,Low,26.67
CUST100065,Male,0,Yes,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.43,1046.15,No,0,0.3379,Low,12.31
CUST100066,Female,1,Yes,Yes,21,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,58.29,1241.73,Yes,1,0.574,Medium,33.46
CUST100067,Male,0,No,No,10,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,103.17,1060.2,No,0,0.6353,Medium,65.54
CUST100068,Male,0,Yes,Yes,28,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,69.52,1921.51,Yes,1,0.6732,Medium,46.8
CUST100069,Male,0,No,No,21,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),90.5,1872.53,Yes,1,0.6979,Medium,63.16
CUST100070,Female,0,No,No,47,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,97.56,4577.01,Yes,1,0.6196,Medium,60.44
CUST100071,Male,0,No,Yes,13,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),110.57,1473.67,No,0,0.6892,Medium,76.21
CUST100072,Male,0,Yes,No,12,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),97.63,1175.19,No,0,0.706,High,68.93
CUST100073,Male,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),35.0,1301.08,No,0,0.3395,Low,11.88
CUST100074,Female,0,No,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,99.35,889.3,Yes,1,0.6259,Medium,62.19
CUST100075,Male,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.36,665.8,No,0,0.7463,High,81.61
CUST100076,Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,98.08,1964.51,Yes,1,0.7147,High,70.09
CUST100077,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,97.26,2890.5,Yes,1,0.7302,High,71.02
CUST100078,Female,0,Yes,No,5,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,78.17,345.47,No,0,0.1946,Low,15.21
CUST100079,Female,0,Yes,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),94.36,3799.82,Yes,1,0.4579,Medium,43.21
CUST100080,Female,0,No,Yes,5,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),85.0,376.93,No,0,0.6443,Medium,54.77
CUST100081,Male,0,Yes,No,13,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),62.95,808.42,Yes,1,0.5193,Medium,32.69
CUST100082,Male,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.93,2317.93,Yes,1,0.7906,High,87.71
CUST100083,Female,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),107.52,5371.33,No,0,0.425,Medium,45.7
CUST100084,Female,1,Yes,Yes,52,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),114.19,5936.62,No,0,0.5243,Medium,59.87
CUST100085,Female,0,No,No,24,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,105.61,2562.07,Yes,1,0.6381,Medium,67.39
CUST100086,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),83.88,1264.97,Yes,1,0.5044,Medium,42.31
CUST100087,Male,0,No,Yes,16,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Mailed check,57.05,939.05,No,0,0.2536,Low,14.47
CUST100088,Female,0,Yes,No,69,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,65.58,4516.42,Yes,1,0.1793,Low,11.76
CUST100089,Female,0,No,Yes,45,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.42,5145.43,No,0,0.3177,Low,36.35
CUST100090,Male,0,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,101.58,2718.91,No,0,0.4932,Medium,50.1
CUST100091,Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,96.78,2314.05,Yes,1,0.7143,High,69.13
CUST100092,Female,0,No,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),97.15,2243.36,Yes,1,0.6919,Medium,67.22
CUST100093,Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,90.96,323.11,Yes,1,0.4414,Medium,40.15
CUST100094,Female,0,No,No,2,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,59.4,125.38,No,0,0.3721,Low,22.1
CUST100095,Male,1,Yes,No,18,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,73.87,1303.57,No,0,0.2935,Low,21.68
CUST100096,Male,1,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),108.22,851.17,Yes,1,0.3846,Low,41.62
CUST100097,Female,1,Yes,No,24,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),100.43,2430.91,No,0,0.3286,Low,33.0
CUST100098,Female,1,Yes,Yes,23,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,393.83,Yes,1,0.1524,Low,2.74
CUST100099,Male,0,No,No,6,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),76.21,440.71,No,0,0.2985,Low,22.74
CUST100100,Female,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,111.45,2801.42,No,0,0.4248,Medium,47.34
CUST100101,Male,0,No,Yes,26,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),114.75,2985.88,No,0,0.3096,Low,35.53
CUST100102,Female,0,No,Yes,25,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,98.45,2428.42,No,0,0.8182,High,80.55
CUST100103,Male,0,No,Yes,13,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,76.03,981.47,No,0,0.6623,Medium,50.35
CUST100104,Female,1,Yes,Yes,29,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,62.07,1791.81,Yes,1,0.6491,Medium,40.29
CUST100105,Female,0,Yes,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,114.49,3434.48,Yes,1,0.7189,High,82.31
CUST100106,Female,0,Yes,No,29,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,95.81,2780.87,No,0,0.5716,Medium,54.76
CUST100107,Female,0,No,Yes,17,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,102.97,1737.68,Yes,1,0.6215,Medium,64.0
CUST100108,Male,0,No,No,55,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,114.86,6377.94,Yes,1,0.6874,Medium,78.95
CUST100109,Female,0,No,No,48,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.08,4364.52,No,0,0.4215,Medium,38.39
CUST100110,Male,0,Yes,Yes,22,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),56.94,1260.7,Yes,1,0.2539,Low,14.46
CUST100111,Female,0,Yes,No,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,58.49,662.65,Yes,1,0.6854,Medium,40.09
CUST100112,Female,0,No,Yes,11,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,101.97,1109.24,No,0,0.4639,Medium,47.3
CUST100113,Male,1,Yes,No,31,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,94.11,2917.96,No,0,0.6831,Medium,64.28
CUST100114,Female,0,No,No,7,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.79,631.05,Yes,1,0.6432,Medium,60.32
CUST100115,Female,0,Yes,No,32,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,101.31,3233.4,Yes,1,0.3167,Low,32.08
CUST100116,Male,0,Yes,No,6,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,74.67,452.18,Yes,1,0.3359,Low,25.08
CUST100117,Male,0,No,Yes,19,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),83.23,1553.46,No,0,0.4512,Medium,37.56
CUST100118,Male,0,No,No,30,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,108.09,3229.31,No,0,0.639,Medium,69.07
CUST100119,Male,1,No,Yes,11,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,99.91,1099.39,Yes,1,0.7264,High,72.57
CUST100120,Male,0,No,Yes,39,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),62.61,2454.74,Yes,1,0.5734,Medium,35.9
CUST100121,Female,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),55.96,852.16,No,0,0.344,Low,19.25
CUST100122,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,93.26,1958.44,No,0,0.6224,Medium,58.05
CUST100123,Male,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,95.92,284.44,No,0,0.3935,Low,37.74
CUST100124,Female,0,No,No,6,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,52.6,343.51,Yes,1,0.5845,Medium,30.75
CUST100125,Female,0,No,No,4,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),95.91,418.37,Yes,1,0.6326,Medium,60.67
CUST100126,Male,1,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),101.24,3476.92,No,0,0.6944,Medium,70.3
CUST100127,Female,0,Yes,No,15,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),102.68,1544.43,Yes,1,0.6299,Medium,64.68
CUST100128,Female,0,No,No,42,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),71.37,2992.85,No,0,0.3134,Low,22.37
CUST100129,Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),34.65,105.59,No,0,0.2058,Low,7.13
CUST100130,Female,0,Yes,No,28,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,78.51,2176.46,Yes,1,0.6341,Medium,49.79
CUST100131,Female,1,Yes,No,3,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,66.98,188.4,No,0,0.5008,Medium,33.54
CUST100132,Male,0,No,Yes,10,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,73.31,727.14,No,0,0.5715,Medium,41.89
CUST100133,Female,0,No,No,19,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,47.56,910.54,Yes,1,0.6646,Medium,31.61
CUST100134,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,109.91,1664.02,Yes,1,0.7924,High,87.09
CUST100135,Male,0,Yes,No,25,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,62.99,1603.55,Yes,1,0.5354,Medium,33.72
CUST100136,Female,0,No,Yes,13,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),60.18,815.5,Yes,1,0.6026,Medium,36.27
CUST100137,Male,0,No,Yes,17,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.71,1177.79,No,0,0.2795,Low,19.48
CUST100138,Male,0,No,No,9,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,50.26,455.7,Yes,1,0.3188,Low,16.02
CUST100139,Male,0,Yes,No,31,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,94.81,2964.42,Yes,1,0.5704,Medium,54.08
CUST100140,Female,0,No,No,22,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),78.37,1727.54,No,0,0.5722,Medium,44.84
CUST100141,Male,0,No,No,28,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),73.01,2022.4,Yes,1,0.4466,Medium,32.61
CUST100142,Male,0,No,No,20,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),109.39,2207.83,Yes,1,0.6331,Medium,69.25
CUST100143,Male,0,No,No,35,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,104.29,3639.38,No,0,0.7467,High,77.87
CUST100144,Female,0,No,Yes,13,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),70.17,884.44,Yes,1,0.6153,Medium,43.18
CUST100145,Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,89.81,1959.76,Yes,1,0.5582,Medium,50.13
CUST100146,Male,0,No,No,72,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),62.43,4505.13,No,0,0.5066,Medium,31.63
CUST100147,Male,0,No,No,8,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),66.11,533.59,Yes,1,0.6,Medium,39.67
CUST100148,Female,0,Yes,No,43,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),63.61,2725.47,Yes,1,0.5259,Medium,33.45
